,area,price_sqm,asking_price,nbr_rooms,living_space,rent,additional,year_built,closing_price,bi_area,price_inc_percent,time
6307,vasastan,92763.0,3095000.0,2.0,38.0,2236.0,4800.0,1916.0,3525000,0.0,0.13893376413570274,0.8817541111981206
6308,sodermalm,77778.0,4995000.0,3.0,63.0,2786.0,0.0,1925.0,4900000,0.0,-0.019019019019019017,0.8817541111981206
6309,gardet,87131.0,2995000.0,2.0,37.3,1762.0,7080.0,1939.0,3250000,0.0,0.08514190317195326,0.8817541111981206
6310,sodermalm,79121.0,6950000.0,2.0,91.0,2880.0,5880.0,1889.0,7200000,0.0,0.03597122302158273,0.8817541111981206
6311,ostermalm,89583.0,3995000.0,2.0,48.0,1696.0,3400.0,1955.0,4300000,0.0,0.07634543178973717,0.8817541111981206
6312,stora_essingen,66667.0,2600000.0,2.0,39.0,1923.0,4200.0,1937.0,2600000,0.0,0.0,0.8817541111981206
6313,sodermalm,66667.0,4095000.0,3.0,66.0,4025.0,6782.0,1991.0,4400000,0.0,0.07448107448107448,0.8817541111981206
6314,kungsholmen,87273.0,3495000.0,2.0,44.0,2473.0,0.0,1932.0,3840000,0.0,0.09871244635193133,0.8817541111981206
6315,vasastan,97500.0,3150000.0,1.5,40.0,2182.0,9940.0,1939.0,3900000,0.0,0.2380952380952381,0.8817541111981206
6316,stora_essingen,50000.0,2995000.0,2.0,64.0,2455.0,4000.0,1947.0,3200000,37.0,0.06844741235392321,0.8817541111981206
6317,lilla_essingen,70760.0,6200000.0,3.0,85.5,4622.0,6900.0,2005.0,6050000,0.0,-0.024193548387096774,0.8817541111981206
6318,sodermalm,83673.0,3495000.0,2.0,49.0,2904.0,0.0,1929.0,4100000,0.0,0.17310443490701002,0.8813625685199686
6319,vasastan,107097.0,2895000.0,1.0,31.0,2252.0,0.0,1928.0,3320000,0.0,0.14680483592400692,0.8813625685199686
6320,sodermalm,71333.0,5350000.0,3.0,75.0,2437.0,15000.0,1904.0,5350000,0.0,0.0,0.8813625685199686
6321,sodermalm,103333.0,2195000.0,1.0,24.0,1321.0,4800.0,1937.0,2480000,0.0,0.12984054669703873,0.8813625685199686
6322,vasastan,76795.0,5990000.0,3.0,78.0,3591.0,7300.0,1979.0,5990000,0.0,0.0,0.8813625685199686
6323,vasastan,83110.0,2995000.0,2.0,37.3,1989.0,0.0,1907.0,3100000,0.0,0.035058430717863104,0.8813625685199686
6324,stora_essingen,61111.0,5475000.0,3.5,90.0,5400.0,12060.0,1942.0,5500000,9.0,0.0045662100456621,0.8813625685199686
6325,vasastan,86151.0,11975000.0,4.0,139.0,4425.0,0.0,1911.0,11975000,0.0,0.0,0.8813625685199686
6326,vasastan,89868.0,2995000.0,1.5,38.0,2139.0,4700.0,1916.0,3415000,0.0,0.14023372287145242,0.8813625685199686
6327,sodermalm,79767.0,3690000.0,1.5,43.0,2635.0,0.0,1931.0,3430000,0.0,-0.07046070460704608,0.8813625685199686
6328,kungsholmen,82667.0,3450000.0,2.0,45.0,2091.0,4500.0,1929.0,3720000,0.0,0.0782608695652174,0.8813625685199686
6329,kungsholmen,92568.0,3295000.0,2.0,37.0,1227.0,0.0,1936.0,3425000,0.0,0.03945371775417299,0.8813625685199686
6330,kungsholmen,66418.0,4295000.0,2.0,67.0,3054.0,0.0,1974.0,4450000,0.0,0.036088474970896386,0.8813625685199686
6331,kungsholmen,80571.0,4190000.0,2.0,52.5,3438.0,4000.0,2015.0,4230000,0.0,0.00954653937947494,0.8813625685199686
6332,sodermalm,60940.0,4495000.0,3.0,74.5,4687.0,5520.0,2003.0,4540000,0.0,0.010011123470522805,0.8813625685199686
6333,sodermalm,80000.0,2800000.0,1.0,40.0,2333.0,3312.0,1894.0,3200000,0.0,0.14285714285714285,0.8813625685199686
6334,kungsholmen,67391.0,4495000.0,3.0,69.0,3564.0,9500.0,1932.0,4650000,0.0,0.03448275862068965,0.8813625685199686
6335,gardet,71154.0,5595000.0,3.0,78.0,4529.0,11568.0,2014.0,5550000,0.0,-0.00804289544235925,0.8813625685199686
6336,sodermalm,92833.0,5200000.0,2.0,60.0,2659.0,7776.0,1896.0,5570000,0.0,0.07115384615384615,0.8813625685199686
6337,sodermalm,80339.0,2250000.0,1.0,29.5,1279.0,3600.0,1962.0,2370000,0.0,0.05333333333333334,0.8813625685199686
6338,sodermalm,86538.0,3995000.0,2.0,52.0,3156.0,0.0,1911.0,4500000,0.0,0.12640801001251564,0.8813625685199686
6339,sodermalm,82088.0,7390000.0,4.0,91.0,4877.0,9030.0,2019.0,7470000,0.0,0.010825439783491205,0.8813625685199686
6340,sodermalm,81250.0,8995000.0,4.0,112.0,577.0,16663.0,1910.0,9100000,0.0,0.011673151750972765,0.8813625685199686
6341,kungsholmen,103509.0,2450000.0,1.0,28.5,1570.0,0.0,1931.0,2950000,0.0,0.20408163265306126,0.8813625685199686
6342,sodermalm,86842.0,4495000.0,2.0,57.0,2505.0,6174.0,1903.0,4950000,0.0,0.10122358175750834,0.8813625685199686
6343,ostermalm,100000.0,12900000.0,3.5,126.0,4133.0,6600.0,1925.0,12600000,0.0,-0.02325581395348837,0.8813625685199686
6344,lilla_essingen,73125.0,2695000.0,2.0,40.0,2480.0,3400.0,1936.0,2925000,0.0,0.08534322820037106,0.8813625685199686
6345,ostermalm,82796.0,7495000.0,3.0,93.0,4247.0,7000.0,1897.0,7700000,0.0,0.027351567711807873,0.8813625685199686
