,living_space,rent,bi_area,time,nbr_rooms,additional,closing_price,area_gamla_stan,area_gardet,area_kungsholmen,area_lilla_essingen,area_ostermalm,area_sodermalm,area_stora_essingen,area_vasastan
3708,147.0,4180.0,0.0,0.9256068911511355,5.0,7200.0,11680000,0,0,0,0,0,0,0,1
3709,73.0,3363.0,0.0,0.9256068911511355,3.0,5500.0,6200000,0,0,0,0,0,0,0,1
3710,60.0,1600.0,0.0,0.9256068911511355,2.0,0.0,5150000,0,0,0,0,0,0,0,1
3711,64.0,1067.0,0.0,0.9256068911511355,2.0,0.0,5500000,0,0,0,0,0,0,0,1
3712,87.0,4678.0,0.0,0.9256068911511355,3.0,4640.0,5150000,0,0,0,1,0,0,0,0
3713,35.0,1181.0,0.0,0.9256068911511355,1.0,0.0,3500000,0,0,0,0,0,1,0,0
3714,67.0,3370.0,0.0,0.9256068911511355,3.0,0.0,4975000,0,0,1,0,0,0,0,0
3715,90.0,4908.0,0.0,0.9256068911511355,3.0,6216.0,5750000,0,0,1,0,0,0,0,0
3716,27.0,1493.0,0.0,0.9256068911511355,1.0,0.0,2950000,0,1,0,0,0,0,0,0
3717,36.0,2011.0,0.0,0.9256068911511355,2.0,3840.0,3200000,0,1,0,0,0,0,0,0
3718,58.1,2323.0,0.0,0.9256068911511355,2.0,7800.0,5395000,0,0,1,0,0,0,0,0
3719,37.0,2049.0,0.0,0.9256068911511355,2.0,3480.0,3130000,0,1,0,0,0,0,0,0
3720,39.5,3158.0,18.5,0.9256068911511355,2.0,0.0,4250000,0,0,1,0,0,0,0,0
3721,42.0,1007.0,0.0,0.9256068911511355,2.0,4200.0,4300000,0,0,1,0,0,0,0,0
3722,53.5,3473.0,0.0,0.9256068911511355,2.0,6432.0,4250000,0,0,1,0,0,0,0,0
3723,84.0,3079.0,0.0,0.9256068911511355,3.0,0.0,6350000,0,0,1,0,0,0,0,0
3724,66.0,2790.0,0.0,0.9256068911511355,2.0,0.0,5500000,0,0,1,0,0,0,0,0
3725,81.0,3006.0,0.0,0.9256068911511355,3.0,2400.0,6525000,0,0,1,0,0,0,0,0
3726,105.0,3822.0,0.0,0.9256068911511355,4.0,0.0,9000000,0,0,1,0,0,0,0,0
3727,38.0,1851.0,0.0,0.9256068911511355,2.0,0.0,3625000,0,0,1,0,0,0,0,0
3728,36.0,1892.0,0.0,0.9256068911511355,2.0,6092.0,3750000,0,1,0,0,0,0,0,0
3729,24.0,1154.0,0.0,0.9256068911511355,1.0,4200.0,2670000,0,1,0,0,0,0,0,0
3730,40.0,1925.0,0.0,0.9256068911511355,2.0,0.0,3400000,0,1,0,0,0,0,0,0
3731,70.0,3183.0,0.0,0.9252153484729836,2.0,0.0,3495000,0,1,0,0,0,0,0,0
3732,51.0,455.0,0.0,0.9252153484729836,2.5,0.0,4720000,0,0,0,0,0,0,0,1
3733,46.0,2546.0,0.0,0.9252153484729836,2.0,6240.0,4000000,0,0,0,0,0,0,0,1
3734,103.0,3140.0,0.0,0.9252153484729836,4.0,8040.0,9000000,0,0,0,0,0,0,0,1
3735,102.0,3774.0,0.0,0.9252153484729836,4.0,0.0,9470000,0,0,0,0,0,0,0,1
3736,33.0,1893.0,0.0,0.9252153484729836,1.0,0.0,3425000,0,0,0,0,0,0,0,1
3737,54.5,2792.0,0.0,0.9252153484729836,2.0,6300.0,4625000,0,1,0,0,0,0,0,0
3738,78.0,3949.0,0.0,0.9252153484729836,3.0,4956.0,9400000,0,1,0,0,0,0,0,0
3739,39.0,2724.0,0.0,0.9252153484729836,2.0,0.0,3525000,0,1,0,0,0,0,0,0
3740,29.0,1333.0,0.0,0.9252153484729836,1.0,4000.0,2670000,0,1,0,0,0,0,0,0
3741,64.0,3467.0,0.0,0.9252153484729836,2.0,0.0,5350000,0,1,0,0,0,0,0,0
3742,40.0,1884.0,0.0,0.9252153484729836,2.0,6000.0,3475000,0,1,0,0,0,0,0,0
3743,34.0,1741.0,0.0,0.9252153484729836,2.0,0.0,3570000,0,0,0,0,0,0,0,1
3744,26.0,1005.0,0.0,0.9252153484729836,1.0,0.0,3100000,0,0,0,0,0,0,0,1
3745,67.0,3621.0,0.0,0.9252153484729836,2.5,4640.0,3700000,0,0,0,1,0,0,0,0
3746,41.0,2523.0,0.0,0.9252153484729836,2.0,4600.0,3995000,0,0,1,0,0,0,0,0
3747,76.0,2820.0,0.0,0.9252153484729836,2.5,6600.0,6200000,0,0,1,0,0,0,0,0
3748,32.0,1608.0,0.0,0.9252153484729836,1.0,0.0,2620000,0,0,1,0,0,0,0,0
